timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249655.57274,1.8287873525,8.546690444,1.841690444,-200,-79,-71,-67,-200,-84,-68,-200,-75,-78,-59,-200
1581249656.030149,1.657263351,8.5354260285,1.841786985625,-200,-79,-69,-75,-74,-69,-77,-78,-200,-200,-200,-72
1581249656.4893618,1.4896003048181818,8.537265337272727,1.8398407978181817,-83,-88,-200,-63,-74,-77,-75,-80,-73,-79,-64,-71
1581249656.945854,1.3196320985454546,8.536216351272728,1.84,-70,-83,-75,-65,-75,-77,-200,-72,-73,-83,-60,-80
1581249657.3960123,1.1632105757272726,8.511651322,1.8533256610000002,-71,-83,-74,-71,-74,-74,-200,-69,-72,-85,-60,-71
1581249657.8498633,0.9980658106363635,8.503141065363637,1.8527178693636364,-81,-80,-76,-200,-71,-72,-87,-67,-75,-82,-59,-70
1581249658.3038301,0.8336596637777778,8.479246736888888,1.857901305222222,-200,-83,-80,-84,-200,-83,-69,-79,-68,-85,-72,-200
1581249658.7629068,0.6496880335454546,8.486268594090909,1.846,-73,-85,-71,-67,-200,-80,-74,-79,-69,-87,-64,-79
1581249659.217553,0.492771492090909,8.472249100545454,1.846899640090909,-74,-200,-70,-67,-78,-76,-68,-79,-69,-84,-65,-71
1581249659.6695619,0.35441614590909093,8.448158484545456,1.846,-75,-83,-200,-84,-81,-77,-71,-80,-70,-85,-66,-70
1581249660.1255434,0.2729188201818182,8.448000000000002,1.8591544544545455,-74,-83,-79,-71,-76,-77,-200,-71,-84,-89,-60,-71
