timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252449.930149,5.556211763,11.3618724975,1.757143399875,-73,-67,-200,-77,-200,-77,-92,-200,-200,-72,-72,-81
1581252450.385853,5.405823656428573,11.592027957285714,1.5461983879999999,-200,-76,-70,-200,-200,-200,-200,-84,-80,-78,-77,-79
1581252450.8392575,5.437514337692308,11.76703050669231,1.6622013423846154,-73,-66,-73,-82,-81,-72,-79,-79,-77,-75,-69,-82
1581252451.2983782,5.469633834454546,11.970364023363636,1.9632676685454546,-82,-65,-81,-73,-88,-76,-200,-80,-85,-84,-65,-71
1581252451.7514467,5.510209544875,12.152929245500001,1.883444917875,-70,-69,-80,-77,-82,-74,-83,-69,-200,-200,-200,-200
1581252452.2076845,5.521722651727273,12.332262707818183,1.7723869467272726,-72,-66,-68,-86,-89,-92,-82,-65,-91,-71,-200,-75
1581252452.6646967,5.573078524111112,12.501206144444446,1.735417168888889,-200,-65,-74,-200,-80,-200,-85,-71,-75,-75,-67,-66
1581252453.1230536,5.663783759272727,12.65560938109091,1.733763803090909,-70,-200,-77,-85,-79,-81,-78,-76,-74,-71,-80,-77
1581252453.5745194,5.693325021666666,12.788552982166669,1.711485306916667,-70,-71,-77,-88,-79,-76,-80,-74,-74,-73,-200,-79
1581252454.025328,5.72983736075,12.871229355083335,1.7573173461666665,-72,-76,-74,-82,-78,-73,-83,-72,-76,-69,-82,-77
1581252454.47732,5.805053175499999,12.935840474,1.7755797628333336,-78,-66,-72,-86,-90,-77,-84,-79,-74,-67,-72,-73
1581252454.9342444,5.800864353999999,12.964432177076922,1.7902870663076922,-74,-68,-71,-77,-78,-74,-76,-73,-88,-72,-64,-69
1581252455.3885183,5.837652108909091,12.89119764981818,1.716763159636364,-71,-71,-71,-83,-77,-73,-81,-73,-87,-75,-200,-70
