timestamp,pos_x,pos_y,pos_z,b827ebf7d096,b827eb917e19,b827ebfd7811,b827eb4521b4,000000000302,000000000401,000000000402,000000000202,000000000301,000000000201,000000000101,000000000102
1568124081.9004607,10.36,0.28,1.85,100,100,100,100,100,-68,100,-75,100,100,-66,100
1568982071.862631,10.36,10.95,1.90,100,100,100,100,-69,-69,100,100,100,100,-80,100
1568982126.475882,10.36,10.95,1.90,100,100,100,100,100,-65,100,-67,100,100,-77,100
1568982174.25675,10.36,10.95,1.90,100,100,100,100,-71,-69,-66,100,100,100,100,100
1568982188.788846,10.36,10.95,1.90,100,100,100,100,-73,100,-67,-67,100,100,100,100
1568982191.973078,10.36,10.95,1.90,100,100,100,100,100,100,-66,-68,100,100,-76,100
1568982234.3204467,10.36,10.95,1.90,100,100,100,100,100,100,100,100,-69,-74,100,-72
1568982486.838044,10.36,10.95,1.90,100,100,100,100,-70,100,100,-66,100,100,-77,100
1568982560.102224,10.36,10.95,1.90,100,100,100,100,100,100,100,-67,100,100,-77,-71
1568982586.013364,10.36,10.95,1.90,100,100,100,100,100,100,-67,100,-70,-74,100,100
1568982671.517825,10.36,10.95,1.90,100,100,100,100,100,100,-67,100,100,-74,-77,100
1568982737.883956,10.36,10.95,1.90,100,100,100,100,100,-68,100,100,100,-73,100,-72
1568982866.6240947,10.36,10.95,1.90,100,100,100,100,100,100,-67,100,-71,100,100,-72
1568982909.362959,10.36,10.95,1.90,100,100,100,100,-71,100,-67,100,-71,100,100,100
1568982941.185842,10.36,10.95,1.90,100,100,100,100,100,100,100,100,-74,-73,100,-73
1568983071.8043227,10.36,10.95,1.90,100,100,100,100,-73,100,100,-69,100,100,100,-72
1568983120.419041,10.36,10.95,1.90,100,100,100,100,-69,-69,100,-68,100,100,100,100
1568983134.5122387,10.36,10.95,1.90,100,100,100,100,-73,100,-67,-69,100,100,100,100
1568983163.67886,10.36,10.95,1.90,100,100,100,100,-68,-69,100,-68,100,100,100,100
1568983192.3249407,10.36,10.95,1.90,100,100,100,100,-73,100,100,-68,100,100,100,-72
1568983205.06491,10.36,10.95,1.90,100,100,100,100,-73,100,100,-68,100,100,100,-72
1568983261.958434,10.36,10.95,1.90,100,100,100,100,-69,-69,100,-67,100,100,100,100
1568983270.140696,10.36,10.95,1.90,100,100,100,100,-70,100,100,-66,100,100,-77,100
1568983277.4116447,10.36,10.95,1.90,100,100,100,100,100,100,100,-67,100,100,-77,-72
1568983281.970623,10.36,10.95,1.90,100,100,100,100,100,100,-70,100,100,-74,-77,100
1568983363.811338,10.36,10.95,1.90,100,100,100,100,100,-65,100,100,100,-74,-77,100
1568983375.651954,10.36,10.95,1.90,100,100,100,100,100,-69,-67,100,100,100,-77,100
1568983430.7261147,10.36,10.95,1.90,100,100,100,100,100,-70,100,100,100,-73,100,-72
1568983492.1220307,10.36,10.95,1.90,100,100,100,100,-69,100,100,-67,100,100,-77,100
1568983503.513581,10.36,10.95,1.90,100,100,100,100,-71,100,100,-66,100,-73,100,100
1568983517.16695,10.36,10.95,1.90,100,100,100,100,100,100,100,-68,-71,100,100,-72
1568983559.93648,10.36,10.95,1.90,100,100,100,100,100,100,100,100,-70,-74,-80,100
1568983613.614426,10.36,10.95,1.90,100,100,100,100,-71,100,100,-68,-71,100,100,100
1568983618.64552,10.36,10.95,1.90,100,100,100,100,100,100,100,100,-71,-73,-77,100
